PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Hueso, T; Pouderoux, C; Pere, H; Beaumont, AL; Raillon, LA; Ader, F; Chatenoud, L; Eshagh, D; Szwebel, TA; Martinot, M; Camou, F; Crickx, E; Michel, M; Mahevas, M; Boutboul, D; Azoulay, E; Joseph, A; Hermine, O; Rouzaud, C; Faguer, S; Petua, P; Pommeret, F; Clerc, S; Planquette, B; Merabet, F; London, J; Zeller, V; Ghez, D; Veyer, D; Ouedrani, A; Gallian, P; Pacanowski, J; Mekinian, A; Garnier, M; Pirenne, F; Tiberghien, P; Lacombe, K				Hueso, Thomas; Pouderoux, Cecile; Pere, Helene; Beaumont, Anne-Lise; Raillon, Laure-Anne; Ader, Florence; Chatenoud, Lucienne; Eshagh, Deborah; Szwebel, Tali-Anne; Martinot, Martin; Camou, Fabrice; Crickx, Etienne; Michel, Marc; Mahevas, Matthieu; Boutboul, David; Azoulay, Elie; Joseph, Adrien; Hermine, Olivier; Rouzaud, Claire; Faguer, Stanislas; Petua, Philippe; Pommeret, Fanny; Clerc, Sebastien; Planquette, Benjamin; Merabet, Fatiha; London, Jonathan; Zeller, Valerie; Ghez, David; Veyer, David; Ouedrani, Amani; Gallian, Pierre; Pacanowski, Jerome; Mekinian, Arsene; Garnier, Marc; Pirenne, France; Tiberghien, Pierre; Lacombe, Karine			Convalescent plasma therapy for B-cell-depleted patients with protracted COVID-19	BLOOD																	London, Jonathan/ABB-3495-2021; PLANQUETTE, Benjamin/AAL-7166-2021; Tiberghien, Pierre/AAH-5878-2019; Hermine, Olivier/Q-7072-2018	London, Jonathan/0000-0002-8857-111X; PETUA, Philippe/0000-0002-7993-0723; Reis, AlessanRSS/0000-0001-8486-7469												0006-4971	1528-0020				NOV 12	2020	136	20					2290	2295		10.1182/blood.2020008423								WOS:000590565800007	32959052					
J	Bhatt, DL; Briggs, AH; Reed, SD; Annemans, L; Szarek, M; Bittner, VA; Diaz, R; Goodman, SG; Harrington, RA; Higuchi, K; Joulain, F; Jukema, JW; Li, QH; Mahaffey, KW; Sanchez, RJ; Roe, MT; Lopes, RD; White, HD; Zeiher, AM; Schwartz, GG; Steg, PG				Bhatt, Deepak L.; Briggs, Andrew H.; Reed, Shelby D.; Annemans, Lieven; Szarek, Michael; Bittner, Vera A.; Diaz, Rafael; Goodman, Shaun G.; Harrington, Robert A.; Higuchi, Keiko; Joulain, Florence; Jukema, J. Wouter; Li, Qian H.; Mahaffey, Kenneth W.; Sanchez, Robert J.; Roe, Matthew T.; Lopes, Renato D.; White, Harvey D.; Zeiher, Andreas M.; Schwartz, Gregory G.; Steg, Ph. Gabriel		ODYSSEY OUTCOMES Investigators	Cost-Effectiveness of Alirocumab in Patients With Acute Coronary Syndromes The ODYSSEY OUTCOMES Trial	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY																	Jukema, J. Wouter/ABD-6503-2021; Szarek, Michael/ABE-1965-2021; Briggs, Andrew/ABA-9009-2020	Jukema, J. Wouter/0000-0002-3246-8359; Szarek, Michael/0000-0002-0046-0264; Briggs, Andrew/0000-0002-0777-1997; Jordan, Dedrick/0000-0002-0706-9583												0735-1097	1558-3597				MAY 12	2020	75	18					2297	2308		10.1016/j.jacc.2020.03.029								WOS:000531766100004	32381160					
J	Judd, N; Sauce, B; Wiedenhoeft, J; Tromp, J; Chaarani, B; Schliep, A; van Noort, B; Penttila, J; Grimmer, Y; Insensee, C; Becker, A; Banaschewski, T; Bokde, ALW; Quinlan, EB; Desrivieres, S; Flor, H; Grigis, A; Gowland, P; Heinz, A; Ittermann, B; Martinot, JL; Martinot, MLP; Artiges, E; Nees, F; Orfanos, DP; Paus, T; Poustka, L; Hohmann, S; Millenet, S; Frohner, JH; Smolka, MN; Walter, H; Whelan, R; Schumann, G; Garavan, H; Klingberg, T				Judd, Nicholas; Sauce, Bruno; Wiedenhoeft, John; Tromp, Jeshua; Chaarani, Bader; Schliep, Alexander; van Noort, Betteke; Penttila, Jani; Grimmer, Yvonne; Insensee, Corinna; Becker, Andreas; Banaschewski, Tobias; Bokde, Arun L. W.; Quinlan, Erin Burke; Desrivieres, Sylvane; Flor, Herta; Grigis, Antoine; Gowland, Penny; Heinz, Andreas; Ittermann, Bernd; Martinot, Jean-Luc; Martinot, Marie-Laure Paillere; Artiges, Eric; Nees, Frauke; Orfanos, Dimitri Papadopoulos; Paus, Tomas; Poustka, Luise; Hohmann, Sarah; Millenet, Sabina; Froehner, Juliane H.; Smolka, Michael N.; Walter, Henrik; Whelan, Robert; Schumann, Gunter; Garavan, Hugh; Klingberg, Torkel			Cognitive and brain development is independently influenced by socioeconomic status and polygenic scores for educational attainment	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA																	Nees, Frauke/AAZ-2150-2020; Desrivieres, Sylvane/ABC-4336-2021; Gowland, Penny A./I-9016-2012; Heinz, Andreas/ABB-7736-2020; Walter, Henrik/O-2612-2013; Artiges, Eric/AAT-7219-2021; Wiedenhoeft, John/F-9035-2019; Banaschewski, Tobias/ABE-5985-2020; Sauce, Bruno/X-4365-2018	Desrivieres, Sylvane/0000-0002-9120-7060; Gowland, Penny A./0000-0002-4900-4817; Heinz, Andreas/0000-0001-5405-9065; Artiges, Eric/0000-0003-4461-7646; Wiedenhoeft, John/0000-0002-6935-1517; Banaschewski, Tobias/0000-0003-4595-1144; Whelan, Robert/0000-0002-2790-7281; Chaarani, Bader/0000-0002-3932-6273; Nees, Frauke/0000-0002-7796-8234; Sauce, Bruno/0000-0002-9544-0150; Flor, Herta/0000-0003-4809-5398; Schliep, Alexander/0000-0002-3555-3188; Walter, Henrik/0000-0002-9403-6121; van Noort, Betteke Maria/0000-0002-9768-3383; Quinlan, Erin Burke/0000-0003-2927-1632												0027-8424					JUN 2	2020	117	22					12411	12418		10.1073/pnas.2001228117								WOS:000538147800072	32430323					
J	Codaccioni, C; Picone, O; Lambert, V; Maurice, P; Pomar, L; Winer, N; Guibaud, L; Lavergne, RA; Saliou, AH; Quinio, D; Benachi, A; Noel, C; Ville, Y; Cuillier, F; Pomares, C; Ferret, N; Filisetti, D; Weingertner, AS; Vequeau-Goua, V; Cateau, E; Benoist, G; Wallon, M; Dommergues, M; Villena, I; Mandelbrot, L				Codaccioni, Camille; Picone, Olivier; Lambert, Veronique; Maurice, Paul; Pomar, Leo; Winer, Norbert; Guibaud, Laurent; Lavergne, Rose-Anne; Saliou, Anne-Helene; Quinio, Dorothee; Benachi, Alexandra; Noel, Catherine; Ville, Yves; Cuillier, Fabrice; Pomares, Christelle; Ferret, Nicole; Filisetti, Denis; Weingertner, Anne-Sophie; Vequeau-Goua, Valerie; Cateau, Estelle; Benoist, Guillaume; Wallon, Martine; Dommergues, Marc; Villena, Isabelle; Mandelbrot, Laurent			Ultrasound features of fetal toxoplasmosis: A contemporary multicenter survey in 88 fetuses	PRENATAL DIAGNOSIS																	PICONE, Olivier/ABF-7916-2020; Lavergne, Rose-Anne/AAB-8075-2020; Wallon, martine/D-1340-2013	PICONE, Olivier/0000-0001-8421-9971; Lavergne, Rose-Anne/0000-0001-9339-1562; Wallon, martine/0000-0001-8285-8550; Pomares, Christelle/0000-0002-6192-3293; LAMBERT, veronique/0000-0001-6453-8983												0197-3851	1097-0223				DEC	2020	40	13			SI		1741	1752		10.1002/pd.5756		JUN 2020						WOS:000544213200001	32506432					
J	Parker, N; Vidal-Pineiro, D; French, L; Shin, J; Adams, HHH; Brodaty, H; Cox, SR; Deary, IJ; Fjell, AM; Frenzel, S; Grabe, H; Hosten, N; Ikram, MA; Jiang, JY; Knol, MJ; Mazoyer, B; Mishra, A; Sachdev, PS; Salum, G; Satizabal, CL; Schmidt, H; Schmidt, R; Seshadri, S; Schumann, G; Volzke, H; Walhovd, KB; Wen, W; Wittfeld, K; Yang, Q; Debette, S; Pausova, Z; Paus, T				Parker, Nadine; Vidal-Pineiro, Didac; French, Leon; Shin, Jean; Adams, Hieab H. H.; Brodaty, Henry; Cox, Simon R.; Deary, Ian J.; Fjell, Anders M.; Frenzel, Stefan; Grabe, Hans; Hosten, Norbert; Ikram, Mohammad Arfan; Jiang, Jiyang; Knol, Maria J.; Mazoyer, Bernard; Mishra, Aniket; Sachdev, Perminder S.; Salum, Giovanni; Satizabal, Claudia L.; Schmidt, Helena; Schmidt, Reinhold; Seshadri, Sudha; Schumann, Gunter; Voelzke, Henry; Walhovd, Kristine B.; Wen, Wei; Wittfeld, Katharina; Yang, Qiong; Debette, Stephanie; Pausova, Zdenka; Paus, Tomas			Corticosteroids and Regional Variations in Thickness of the Human Cerebral Cortex across the Lifespan	CEREBRAL CORTEX																	Ikram, M. Arfan/AAM-5225-2021; Knol, Maria/AAP-9725-2020; Salum, Giovanni Abrahao/A-7849-2010; Sachdev, Perminder/ABC-1137-2020; debette, stephanie/T-4946-2019	Knol, Maria/0000-0002-3597-1531; Salum, Giovanni Abrahao/0000-0002-7537-7289; Sachdev, Perminder/0000-0002-9595-3220; Wen, Wei/0000-0003-2753-3870; Mishra, Aniket/0000-0002-8141-1543; Seshadri, Sudha/0000-0001-6135-2622; debette, stephanie/0000-0001-8675-7968; Ikram, Mohammad Arfan/0000-0003-0372-8585; Frenzel, Stefan/0000-0001-5087-5970; Jiang, Jiyang/0000-0002-2147-6302												1047-3211	1460-2199				FEB	2020	30	2					575	586		10.1093/cercor/bhz108								WOS:000530440700011	31240317					
J	Mousa, A; Al-Taiar, A; Anstey, NM; Badaut, C; Barber, BE; Bassat, Q; Challenger, JD; Cunnington, AJ; Datta, D; Drakeley, C; Ghani, AC; Gordeuk, VR; Grigg, MJ; Hugo, P; John, CC; Mayor, A; Migot-Nabias, F; Opoka, RO; Pasvol, G; Rees, C; Reyburn, H; Riley, EM; Shah, BN; Sitoe, A; Sutherland, CJ; Thuma, PE; Unger, SA; Viwami, F; Walther, M; Whitty, CJM; William, T; Okell, LC				Mousa, Andria; Al-Taiar, Abdullah; Anstey, Nicholas M.; Badaut, Cyril; Barber, Bridget E.; Bassat, Quique; Challenger, Joseph D.; Cunnington, Aubrey J.; Datta, Dibyadyuti; Drakeley, Chris; Ghani, Azra C.; Gordeuk, Victor R.; Grigg, Matthew J.; Hugo, Pierre; John, Chandy C.; Mayor, Alfredo; Migot-Nabias, Florence; Opoka, Robert O.; Pasvol, Geoffrey; Rees, Claire; Reyburn, Hugh; Riley, Eleanor M.; Shah, Binal N.; Sitoe, Antonio; Sutherland, Colin J.; Thuma, Philip E.; Unger, Stefan A.; Viwami, Firmine; Walther, Michael; Whitty, Christopher J. M.; William, Timothy; Okell, Lucy C.			The impact of delayed treatment of uncomplicated P. falciparum malaria on progression to severe malaria: A systematic review and a pooled multicentre individualpatient meta-analysis	PLOS MEDICINE																	Mayor, Alfredo/H-7488-2017; Datta, Dibyadyuti/AAX-4167-2020; Bassat, Quique/P-2341-2016; Grigg, Matthew/AAB-2629-2021	Mayor, Alfredo/0000-0003-3890-2897; Datta, Dibyadyuti/0000-0002-1693-935X; Bassat, Quique/0000-0003-0875-7596; Barber, Bridget/0000-0003-1066-7960; Badaut, Cyril/0000-0002-0064-6384; Drakeley, Chris/0000-0003-4863-075X; Mousa, Andria/0000-0001-9406-7481; Challenger, Joseph/0000-0001-6029-1733; Al-Taiar, Abdullah/0000-0001-7421-3381; Cunnington, Aubrey/0000-0002-1305-3529; Migot-Nabias, Florence/0000-0001-9982-594X; Okell, Lucy/0000-0001-7202-6873												1549-1277	1549-1676				OCT	2020	17	10							e1003359	10.1371/journal.pmed.1003359								WOS:000585847600001	33075101					
J	Stienen, S; Ferreira, JP; Kobayashi, M; Preud'homme, G; Dobre, D; Machu, JL; Duarte, K; Bresso, E; Devignes, MD; Andres, NL; Girerd, N; Aakhus, S; Ambrosio, G; Brunner-La Rocca, HP; Fontes-Carvalho, R; Fraser, AG; van Heerebeek, L; de Keulenaer, G; Marino, P; McDonald, K; Mebazaa, A; Papp, Z; Raddino, R; Tschope, C; Paulus, WJ; Zannad, F; Rossignol, P				Stienen, Susan; Ferreira, Joao Pedro; Kobayashi, Masatake; Preud'homme, Gregoire; Dobre, Daniela; Machu, Jean-Loup; Duarte, Kevin; Bresso, Emmanuel; Devignes, Marie-Dominique; Andres, Natalia Lopez; Girerd, Nicolas; Aakhus, Svend; Ambrosio, Giuseppe; Rocca, Hans-Peter Brunner-La; Fontes-Carvalho, Ricardo; Fraser, Alan G.; van Heerebeek, Loek; de Keulenaer, Gilles; Marino, Paolo; McDonald, Kenneth; Mebazaa, Alexandre; Papp, Zoltan; Raddino, Riccardo; Tschoepe, Carsten; Paulus, Walter J.; Zannad, Faiez; Rossignol, Patrick			Sex differences in circulating proteins in heart failure with preserved ejection fraction	BIOLOGY OF SEX DIFFERENCES																	Kobayashi, Masatake/AAE-5983-2021; Kobayashi, Masatake/AAS-4074-2020; Rocca, Hans-Peter Brunner-La/AAF-7330-2021; GIRERD, Nicolas/D-5493-2011; Ambrosio, Giuseppe/C-6596-2013; Lopez-Andres, Natalia/B-1276-2017	Kobayashi, Masatake/0000-0003-0008-2256; Ambrosio, Giuseppe/0000-0002-9677-980X; Lopez-Andres, Natalia/0000-0003-3728-2606; Ferreira, Joao Pedro/0000-0002-2304-6138; Tschope, Carsten/0000-0001-5243-8985; Stienen, Susan/0000-0002-5573-9377; Brunner-La Rocca, Hans-Peter/0000-0002-4356-8566													2042-6410				AUG 24	2020	11	1							47	10.1186/s13293-020-00322-7								WOS:000571013300001	32831121					
J	Gianfrancesco, M; Hyrich, KL; Al-Adely, S; Carmona, L; Danila, MI; Gossec, L; Izadi, Z; Jacobsohn, L; Katz, P; Lawson-Tovey, S; Mateus, EF; Rush, S; Schmajuk, G; Simard, J; Strangfeld, A; Trupin, L; Wysham, KD; Bhana, S; Costello, W; Grainger, R; Hausmann, JS; Liew, JW; Sirotich, E; Sufka, P; Wallace, ZS; Yazdany, J; Machado, PM; Robinson, PC				Gianfrancesco, Milena; Hyrich, Kimme L.; Al-Adely, Sarah; Carmona, Loreto; Danila, Maria, I; Gossec, Laure; Izadi, Zara; Jacobsohn, Lindsay; Katz, Patricia; Lawson-Tovey, Saskia; Mateus, Elsa F.; Rush, Stephanie; Schmajuk, Gabriela; Simard, Julia; Strangfeld, Anja; Trupin, Laura; Wysham, Katherine D.; Bhana, Suleman; Costello, Wendy; Grainger, Rebecca; Hausmann, Jonathan S.; Liew, Jean W.; Sirotich, Emily; Sufka, Paul; Wallace, Zachary S.; Yazdany, Jinoos; Machado, Pedro M.; Robinson, Philip C.		COVID-19 Global Rheumatology Allia	Characteristics associated with hospitalisation for COVID-19 in people with rheumatic disease: data from the COVID-19 Global Rheumatology Alliance physician-reported registry	ANNALS OF THE RHEUMATIC DISEASES																	Machado, Pedro/C-8621-2013; Grainger, Rebecca/I-1866-2012; Sparks, Jeffrey/Z-1574-2018; De la Torre, Natalia/ABH-4368-2020; Campos, Jose/H-1531-2012; Wysham, Katherine/AAN-6309-2020; Robinson, Philip/B-8319-2011	Machado, Pedro/0000-0002-8411-7972; Grainger, Rebecca/0000-0001-9201-8678; Sparks, Jeffrey/0000-0002-5556-4618; Campos, Jose/0000-0003-1744-0910; Wysham, Katherine/0000-0001-8707-7649; Conway, Richard/0000-0003-2538-3362; Robinson, Philip/0000-0002-3156-3418; Bhana, Suleman/0000-0003-3805-0946; Sirotich, Emily/0000-0002-7087-8543; Hausmann, Jonathan/0000-0003-0786-8788; Gossec, Laure/0000-0002-4528-310X; de la Torre Rubio, Natalia/0000-0002-0458-4539; Lawson-Tovey, Saskia/0000-0002-8611-162X												0003-4967	1468-2060				JUL	2020	79	7					859	866		10.1136/annrheumdis-2020-217871								WOS:000542734200014	32796043					
J	Cacheiro, P; Munoz-Fuentes, V; Murray, SA; Dickinson, ME; Bucan, M; Nutter, LMJ; Peterson, KA; Haselimashhadi, H; Flenniken, AM; Morgan, H; Westerberg, H; Konopka, T; Hsu, CW; Christiansen, A; Lanza, DG; Beaudet, AL; Heaney, JD; Fuchs, H; Gailus-Durner, V; Sorg, T; Prochazka, J; Novosadova, V; Lelliott, CJ; Wardle-Jones, H; Wells, S; Teboul, L; Cater, H; Stewart, M; Hough, T; Wurst, W; Sedlacek, R; Adams, DJ; Seavitt, JR; Tocchini-Valentini, G; Mammano, F; Braun, RE; McKerlie, C; Herault, Y; de Angelis, MH; Mallon, AM; Lloyd, KCK; Brown, SDM; Parkinson, H; Meehan, TF; Smedley, D; Ambrose, JC; Arumugam, P; Baple, EL; Bleda, M; Boardman-Pretty, F; Boissiere, JM; Boustred, CR; Brittain, H; Caulfield, MJ; Chan, GC; Craig, CEH; Daugherty, LC; de Burca, A; Devereau, A; Elgar, G; Foulger, RE; Fowler, T; Furio-Tari, P; Hackett, JM; Halai, D; Hamblin, A; Henderson, S; Holman, JE; Hubbard, TJP; Ibanez, K; Jackson, R; Jones, LJ; Kasperaviciute, D; Kayikci, M; Lahnstein, L; Lawson, K; Leigh, SEA; Leong, IUS; Lopez, FJ; Maleady-Crowe, F; Mason, J; McDonagh, EM; Moutsianas, L; Mueller, M; Murugaesu, N; Need, AC; Odhams, CA; Patch, C; Perez-Gil, D; Polychronopoulos, D; Pullinger, J; Rahim, T; Rendon, A; Riesgo-Ferreiro, P; Rogers, T; Ryten, M; Savage, K; Sawant, K; Scott, RH; Siddiq, A; Sieghart, A; Smith, KR; Sosinsky, A; Spooner, W; Stevens, HE; Stuckey, A; Sultana, R; Thomas, ERA; Thompson, SR; Tregidgo, C; Tucci, A; Walsh, E; Watters, SA; Welland, MJ; Williams, E; Witkowska, K; Wood, SM; Zarowiecki, M; Marschall, S; Lengger, C; Maier, H; Seisenberger, C; Burger, A; Kuhn, R; Schick, J; Horlein, A; Oritz, O; Giesert, F; Beig, J; Kenyon, J; Codner, G; Fray, M; Johnson, SJ; Cleak, J; Szoke-Kovacs, Z; Lafont, D; Vancollie, VE; McLaren, RSB; Hughes-Hallett, L; Rowley, C; Sanderson, E; Galli, A; Tuck, E; Green, A; Tudor, C; Siragher, E; Dabrowska, M; Mazzeo, CI; Griffiths, M; Gannon, D; Doe, B; Cockle, N; Kirton, A; Bottomley, J; Ingle, C; Ryder, E; Gleeson, D; Ramirez-Solis, R; Birling, MC; Pavlovic, G; Ayadi, A; Hamid, M; About, GB; Champy, MF; Jacobs, H; Wendling, O; Leblanc, S; Vasseur, L; Chesler, EJ; Kumar, V; White, JK; Svenson, KL; Wiegand, JP; Anderson, LL; Wilcox, T; Clark, J; Ryan, J; Denegre, J; Stearns, T; Philip, V; Witmeyer, C; Bates, L; Seavey, Z; Stanley, P; Willet, A; Roper, W; Creed, J; Moore, M; Dorr, A; Fraungruber, P; Presby, R; Mckay, M; Nguyen-Bresinsky, D; Goodwin, L; Urban, R; Kane, C				Cacheiro, Pilar; Munoz-Fuentes, Violeta; Murray, Stephen A.; Dickinson, Mary E.; Bucan, Maja; Nutter, Lauryl M. J.; Peterson, Kevin A.; Haselimashhadi, Hamed; Flenniken, Ann M.; Morgan, Hugh; Westerberg, Henrik; Konopka, Tomasz; Hsu, Chih-Wei; Christiansen, Audrey; Lanza, Denise G.; Beaudet, Arthur L.; Heaney, Jason D.; Fuchs, Helmut; Gailus-Durner, Valerie; Sorg, Tania; Prochazka, Jan; Novosadova, Vendula; Lelliott, Christopher J.; Wardle-Jones, Hannah; Wells, Sara; Teboul, Lydia; Cater, Heather; Stewart, Michelle; Hough, Tertius; Wurst, Wolfgang; Sedlacek, Radislav; Adams, David J.; Seavitt, John R.; Tocchini-Valentini, Glauco; Mammano, Fabio; Braun, Robert E.; McKerlie, Colin; Herault, Yann; de Angelis, Martin Hrabe; Mallon, Ann-Marie; Lloyd, K. C. Kent; Brown, Steve D. M.; Parkinson, Helen; Meehan, Terrence F.; Smedley, Damian; Ambrose, J. C.; Arumugam, P.; Baple, E. L.; Bleda, M.; Boardman-Pretty, F.; Boissiere, J. M.; Boustred, C. R.; Brittain, H.; Caulfield, M. J.; Chan, G. C.; Craig, C. E. H.; Daugherty, L. C.; de Burca, A.; Devereau, A.; Elgar, G.; Foulger, R. E.; Fowler, T.; Furio-Tari, P.; Hackett, J. M.; Halai, D.; Hamblin, A.; Henderson, S.; Holman, J. E.; Hubbard, T. J. P.; Ibanez, K.; Jackson, R.; Jones, L. J.; Kasperaviciute, D.; Kayikci, M.; Lahnstein, L.; Lawson, K.; Leigh, S. E. A.; Leong, I. U. S.; Lopez, F. J.; Maleady-Crowe, F.; Mason, J.; McDonagh, E. M.; Moutsianas, L.; Mueller, M.; Murugaesu, N.; Need, A. C.; Odhams, C. A.; Patch, C.; Perez-Gil, D.; Polychronopoulos, D.; Pullinger, J.; Rahim, T.; Rendon, A.; Riesgo-Ferreiro, P.; Rogers, T.; Ryten, M.; Savage, K.; Sawant, K.; Scott, R. H.; Siddiq, A.; Sieghart, A.; Smith, K. R.; Sosinsky, A.; Spooner, W.; Stevens, H. E.; Stuckey, A.; Sultana, R.; Thomas, E. R. A.; Thompson, S. R.; Tregidgo, C.; Tucci, A.; Walsh, E.; Watters, S. A.; Welland, M. J.; Williams, E.; Witkowska, K.; Wood, S. M.; Zarowiecki, M.; Marschall, Susan; Lengger, Christoph; Maier, Holger; Seisenberger, Claudia; Buerger, Antje; Kuehn, Ralf; Schick, Joel; Hoerlein, Andreas; Oritz, Oskar; Giesert, Florian; Beig, Joachim; Kenyon, Janet; Codner, Gemma; Fray, Martin; Johnson, Sara J.; Cleak, James; Szoke-Kovacs, Zsombor; Lafont, David; Vancollie, Valerie E.; McLaren, Robbie S. B.; Hughes-Hallett, Lena; Rowley, Christine; Sanderson, Emma; Galli, Antonella; Tuck, Elizabeth; Green, Angela; Tudor, Catherine; Siragher, Emma; Dabrowska, Monika; Mazzeo, Cecilia Icoresi; Griffiths, Mark; Gannon, David; Doe, Brendan; Cockle, Nicola; Kirton, Andrea; Bottomley, Joanna; Ingle, Catherine; Ryder, Edward; Gleeson, Diane; Ramirez-Solis, Ramiro; Birling, Marie-Christine; Pavlovic, Guillaume; Ayadi, Abdel; Hamid, Meziane; About, Ghina Bou; Champy, Marie-France; Jacobs, Hugues; Wendling, Olivia; Leblanc, Sophie; Vasseur, Laurent; Chesler, Elissa J.; Kumar, Vivek; White, Jacqueline K.; Svenson, Karen L.; Wiegand, Jean-Paul; Anderson, Laura L.; Wilcox, Troy; Clark, James; Ryan, Jennifer; Denegre, James; Stearns, Tim; Philip, Vivek; Witmeyer, Catherine; Bates, Lindsay; Seavey, Zachary; Stanley, Pamela; Willet, Amelia; Roper, Willson; Creed, Julie; Moore, Michayla; Dorr, Alex; Fraungruber, Pamelia; Presby, Rose; Mckay, Matthew; Nguyen-Bresinsky, Dong; Goodwin, Leslie; Urban, Rachel; Kane, Coleen		Genomics England Res Consortium; Int Mouse Phenotyping Consortium	Human and mouse essentiality screens as a resource for disease gene discovery	NATURE COMMUNICATIONS																	Mammano, Fabio/AAM-3902-2020; Teboul, Lydia/P-2428-2019; Novosadova, Vendula/AAJ-1449-2021; Smedley, Damian/AAL-8172-2021; Schick, Joel/ABA-3728-2021; Kuhn, Ralf/U-1278-2017; de Angelis, Martin Hrabe/F-5531-2012; Zarowiecki, Magdalena/ABD-2858-2021; Hsu, Chih-Wei/ABI-1472-2020; Herault, Yann/B-5500-2012; Ha, Hamed/AAW-5576-2020; Pavlovic, Guillaume/C-9907-2013; Polychronopoulos, Dimitris/G-8214-2014; Zarowiecki, Magdalena/F-5037-2013	Mammano, Fabio/0000-0003-3751-1691; Teboul, Lydia/0000-0002-2789-8637; Schick, Joel/0000-0002-8623-4910; Kuhn, Ralf/0000-0003-1694-9803; de Angelis, Martin Hrabe/0000-0002-7898-2353; Hsu, Chih-Wei/0000-0002-9591-9567; Herault, Yann/0000-0001-7049-6900; Pavlovic, Guillaume/0000-0001-9122-4592; Adams, David/0000-0001-9490-0306; Parkinson, Helen/0000-0003-3035-4195; Ramirez-Solis, Ramiro/0000-0003-4182-173X; Birling, Marie-Christine/0000-0002-3372-8108; McDonagh, Ellen M/0000-0001-5806-6174; Polychronopoulos, Dimitris/0000-0001-9427-3082; Meehan, Terrence/0000-0003-1980-3228; Cater, Heather/0000-0002-8696-6070; Sorg, Tania/0000-0001-6974-4735; Vancollie, Valerie/0000-0003-1547-1975; Zarowiecki, Magdalena/0000-0001-6102-7731; Peterson, Kevin/0000-0001-8353-3694; Johnson, Sara/0000-0001-6308-6401; Cacheiro, Pilar/0000-0002-6335-8208; Philip, Vivek/0000-0001-5126-707X; Icoresi Mazzeo, Cecilia/0000-0003-4728-3194; Nutter, Lauryl/0000-0001-9619-146X; Wurst, Wolfgang/0000-0003-4422-7410; Riesgo-Ferreiro, Pablo/0000-0003-2739-1315; Giesert, Florian/0000-0001-6825-8858												2041-1723					JAN 31	2020	11	1							655	10.1038/s41467-020-14284-2								WOS:000513245600040	32005800					
J	Schaaf, CP; Betancur, C; Yuen, RKC; Parr, JR; Skuse, DH; Gallagher, L; Bernier, RA; Buchanan, JA; Buxbaum, JD; Chen, CA; Dies, KA; Elsabbagh, M; Firth, HV; Frazier, T; Hoang, N; Howe, J; Marshall, CR; Michaud, JL; Rennie, O; Szatmari, P; Chung, WDK; Bolton, PF; Cook, EH; Scherer, SW; Vorstman, JAS				Schaaf, Christian P.; Betancur, Catalina; Yuen, Ryan K. C.; Parr, Jeremy R.; Skuse, David H.; Gallagher, Louise; Bernier, Raphael A.; Buchanan, Janet A.; Buxbaum, Joseph D.; Chen, Chun-An; Dies, Kira A.; Elsabbagh, Mayada; Firth, Helen V.; Frazier, Thomas; Hoang, Ny; Howe, Jennifer; Marshall, Christian R.; Michaud, Jacques L.; Rennie, Olivia; Szatmari, Peter; Chung, Wendy K.; Bolton, Patrick F.; Cook, Edwin H.; Scherer, Stephen W.; Vorstman, Jacob A. S.			A framework for an evidence-based gene list relevant to autism spectrum disorder	NATURE REVIEWS GENETICS																	Betancur, Catalina/K-3791-2017; Schaaf, Christian P/AAJ-7318-2021; Buxbaum, Joseph D/G-6001-2010; Yuen, Ryan/J-4876-2012; Scherer, Stephen W/B-3785-2013	Betancur, Catalina/0000-0002-3327-4804; Schaaf, Christian P/0000-0002-2148-7490; Yuen, Ryan/0000-0001-7273-4968; Scherer, Stephen W/0000-0002-8326-1999; Gallagher, Louise/0000-0001-9462-2836; Buxbaum, Joseph/0000-0001-8898-8313												1471-0056	1471-0064				JUN	2020	21	6					367	376		10.1038/s41576-020-0231-2		APR 2020						WOS:000528112300001	32317787					
